Date,Open,High,Low,Close,Adj Close,Volume
2000-05-01,56.000000,58.187500,56.000000,57.625000,35.065853,2300
2000-06-01,58.000000,63.875000,58.000000,60.281250,36.682240,42400
2000-07-01,60.500000,63.625000,54.375000,55.437500,33.734737,66100
2000-08-01,55.500000,56.031250,51.375000,54.062500,32.957737,104400
2000-09-01,54.625000,54.718750,47.500000,51.187500,31.205074,203800
2000-10-01,51.031250,52.343750,44.218750,51.687500,31.509871,433600
2000-11-01,49.937500,50.437500,40.968750,42.062500,25.701729,289500
2000-12-01,42.562500,45.468750,35.937500,38.812500,23.715855,727600
2001-01-01,39.093750,47.843750,38.875000,45.549999,28.249170,710600
2001-02-01,45.700001,46.349998,38.650002,40.000000,24.807186,255500
2001-03-01,39.500000,40.500000,33.619999,36.820000,22.835005,239100
2001-04-01,37.000000,39.169998,34.500000,38.480000,23.893341,222100
2001-05-01,38.599998,39.580002,36.779999,37.950001,23.564249,195800
2001-06-01,37.450001,38.270000,34.299999,36.730000,22.806711,233400
2001-07-01,36.250000,38.270000,36.040001,37.570000,23.376219,271800
2001-08-01,37.599998,38.349998,33.299999,33.740002,20.993179,273700
2001-09-01,33.750000,34.400002,31.500000,33.720001,20.980743,665900
2001-10-01,33.799999,34.459999,29.700001,29.980000,18.653688,695600
2001-11-01,29.950001,32.189999,29.629999,30.709999,19.135139,417100
2001-12-01,30.830000,32.160000,30.299999,31.530001,19.646076,445000
2002-01-01,31.549999,32.720001,27.410000,28.549999,17.819511,582900
2002-02-01,28.350000,28.600000,25.010000,26.400000,16.477591,441200
2002-03-01,26.650000,28.240000,25.920000,26.200001,16.352764,550000
2002-04-01,25.950001,26.280001,21.850000,22.389999,14.020373,972700
2002-05-01,22.450001,23.150000,21.030001,22.469999,14.070464,645900
2002-06-01,22.500000,22.520000,17.200001,18.700001,11.709740,1193300
2002-07-01,18.850000,19.250000,13.950000,16.350000,10.278841,1114800
2002-08-01,16.500000,18.299999,14.850000,16.799999,10.561742,1510300
2002-09-01,16.500000,17.250000,13.800000,14.040000,8.826600,1482900
2002-10-01,14.200000,18.879999,14.030000,18.480000,11.682940,1739100
