Date;VDC;IEV;XLP
2010-05-31;65.629997;32.639998999999996;26.35
2010-06-30;63.91;31.35;25.5
2010-07-31;67.93;35.68;26.98
2010-08-31;66.699997;33.990002000000004;26.48
2010-09-30;70.68;37.849998;27.879998999999998
2010-10-31;72.860001;39.619999;28.77
2010-11-30;72.16999799999999;36.380001;28.32
2010-12-31;73.389999;39.279999;29.309998999999998
2011-01-31;72.209999;41.009997999999996;28.879998999999998
2011-02-28;74.260002;42.27;29.719998999999998
2011-03-31;75.589996;41.82;29.92
2011-04-30;79.57;45.34;31.52
2011-05-31;81.720001;43.84;32.310001
2011-06-30;79.91999799999999;42.080002;31.23
2011-07-31;78.769997;40.09;30.83
2011-08-31;78.949997;36.169998;30.889999
2011-09-30;76.230003;31.870001000000002;29.66
2011-10-31;79.650002;35.82;31.040001
2011-11-30;81.269997;34.720001;31.9
2011-12-31;81.470001;33.740002000000004;32.490002000000004
2012-01-31;80.610001;35.580002;32.029999
2012-02-29;83.709999;37.380001;33.23
2012-03-31;86.279999;37.349998;34.080002
2012-04-30;86.470001;36.439999;34.18
2012-05-31;85.120003;32.130001;33.779999
2012-06-30;88.209999;33.700001;34.77
2012-07-31;90.389999;33.900002;35.630001
2012-08-31;90.150002;35.41;35.459998999999996
2012-09-30;91.58000200000001;36.52;35.830002
2012-10-31;90.610001;37.130001;35.389998999999996
2012-11-30;92.33000200000001;37.98;36.040001000000004
2012-12-31;87.900002;39.299999;34.900002
2013-01-31;93.08000200000001;41.099998;36.869999
2013-02-28;95.970001;39.68;38.09
2013-03-31;100.730003;39.709998999999996;39.77
2013-04-30;103.68;41.5;40.939999
2013-05-31;101.970001;41.560001;40.049999
2013-06-30;102.0;38.75;39.669998
2013-07-31;106.620003;41.77;41.389998999999996
2013-08-31;102.0;41.130001;39.509997999999996
2013-09-30;103.660004;44.119999;39.799999
2013-10-31;109.839996;45.93;42.349998
2013-11-30;111.66999799999999;46.34;43.009997999999996
2013-12-31;110.08000200000001;47.450001;42.98
2014-01-31;104.220001;45.27;40.759997999999996
2014-02-28;108.279999;48.529999;42.349998
2014-03-31;110.790001;48.279999;43.060001
2014-04-30;113.620003;49.599998;44.240002000000004
2014-05-31;115.949997;49.98;45.040001000000004
2014-06-30;115.839996;48.57;44.619999
2014-07-31;111.83000200000001;46.52;43.139998999999996
2014-08-31;117.139999;46.799999;45.130001
2014-09-30;117.5;45.080002;45.110001000000004
2014-10-31;121.82;44.09;46.709998999999996
2014-11-30;128.080002;44.98;49.299999
2014-12-31;125.41999799999999;42.529999;48.490002000000004
2015-01-31;123.440002;42.73;48.02
2015-02-28;128.720001;45.290001000000004;50.009997999999996
2015-03-31;126.989998;44.27;48.740002000000004
2015-04-30;128.110001;46.080002;48.369999
2015-05-31;127.010002;46.200001;48.790001000000004
2015-06-30;124.889999;43.73;47.599998
2015-07-31;131.0;44.790001000000004;50.310001
2015-08-31;123.699997;41.919998;47.310001
2015-09-30;121.260002;39.799999;47.189999
2015-10-31;128.309998;42.23;49.889998999999996
2015-11-30;127.139999;41.639998999999996;49.419998
2015-12-31;129.070007;40.110001000000004;50.490002000000004
2016-01-31;129.070007;37.959998999999996;50.759997999999996
2016-02-29;129.58999599999999;36.779999;50.919998
2016-03-31;135.320007;39.110001000000004;53.060001
2016-04-30;133.869995;40.310001;52.299999
2016-05-31;135.0;39.970001;52.66
2016-06-30;141.21000700000002;37.790001000000004;55.150002
2016-07-31;140.71000700000002;38.950001;54.700001
2016-08-31;139.979996;39.139998999999996;54.380001
2016-09-30;136.880005;39.380001;53.209998999999996
2016-10-31;135.809998;38.130001;52.799999
2016-11-30;130.71000700000002;37.18;50.580002
2016-12-31;133.990005;38.810001;51.709998999999996
2017-01-31;135.75;39.84;52.59
2017-02-28;141.800003;40.099998;55.099998
2017-03-31;140.639999;41.849998;54.580002
2017-04-30;142.16000400000001;43.349998;55.18
2017-05-31;145.28999299999998;45.389998999999996;56.639998999999996
2017-06-30;141.020004;44.32;54.939999
2017-07-31;141.899994;45.509997999999996;55.32
2017-08-31;140.16000400000001;45.470001;54.709998999999996
2017-09-30;138.559998;46.869999;53.98
