Date;GDX;XLB;VAW
2011-05-31;58.150002;39.75;87.129997
2011-06-30;54.59;39.369999;86.07
2011-07-31;56.889998999999996;38.009997999999996;83.949997
2011-08-31;62.799999;35.34;77.559998
2011-09-30;55.189999;29.360001;64.470001
2011-10-31;58.830002;34.450001;76.040001
2011-11-30;60.41;34.52;76.449997
2011-12-31;51.43;33.5;73.129997
2012-01-31;56.459998999999996;37.18;81.849998
2012-02-29;55.400002;36.970001;81.760002
2012-03-31;49.540001000000004;36.970001;82.209999
2012-04-30;46.389998999999996;36.669998;81.5
2012-05-31;43.779999;33.82;74.470001
2012-06-30;44.77;35.290001000000004;77.75
2012-07-31;42.830002;34.84;77.290001
2012-08-31;47.939999;35.650002;79.849998
2012-09-30;53.689999;36.799999;82.900002
2012-10-31;52.900002;36.029999;81.690002
2012-11-30;47.549999;36.700001;82.860001
2012-12-31;46.389998999999996;37.540001000000004;84.209999
2013-01-31;41.619999;39.02;87.529999
2013-02-28;37.400002;38.490002000000004;86.33000200000001
2013-03-31;37.849998;39.18;88.730003
2013-04-30;30.360001;39.549999;88.58000200000001
2013-05-31;29.5;40.299999;90.58000200000001
2013-06-30;24.49;38.349998;86.529999
2013-07-31;26.99;40.48;91.519997
2013-08-31;28.129998999999998;40.43;91.0
2013-09-30;25.02;42.009997999999996;95.16999799999999
2013-10-31;25.1;43.77;99.25
2013-11-30;22.280001000000002;44.34;100.57
2013-12-31;21.129998999999998;46.220001;103.25
2014-01-31;23.48;44.040001000000004;98.769997
2014-02-28;25.879998999999998;47.080002;105.43
2014-03-31;23.610001;47.279999;106.309998
2014-04-30;24.110001;47.669998;106.480003
2014-05-31;22.5;49.080002;109.199997
2014-06-30;26.450001;49.639998999999996;111.760002
2014-07-31;25.91;48.650002;108.980003
2014-08-31;26.690001000000002;50.529999;113.519997
2014-09-30;21.360001;49.59;110.18
2014-10-31;17.209999;48.400002;108.400002
2014-11-30;18.360001;49.16;109.559998
2014-12-31;18.379998999999998;48.580002;107.389999
2015-01-31;22.290001;47.689999;104.480003
2015-02-28;21.280001000000002;51.490002000000004;112.58000200000001
2015-03-31;18.24;48.779999;108.550003
2015-04-30;20.110001;50.419998;109.870003
2015-05-31;19.58;50.610001000000004;111.650002
2015-06-30;17.76;48.389998999999996;107.650002
2015-07-31;13.75;45.950001;102.029999
2015-08-31;14.11;43.360001000000004;96.41999799999999
2015-09-30;13.73;39.919998;87.33000200000001
2015-10-31;14.96;45.279999;98.610001
2015-11-30;13.76;45.73;99.389999
2015-12-31;13.72;43.419998;94.190002
2016-01-31;14.21;38.77;84.75
2016-02-29;19.379998999999998;41.799999;90.260002
2016-03-31;19.969998999999998;44.810001;98.18
2016-04-30;25.83;47.099998;103.449997
