Date;VIS;ITA;XLI
2011-08-31;60.130001;58.139998999999996;32.400002
2011-09-30;54.0;54.5;29.219998999999998
2011-10-31;62.209998999999996;59.91;33.419998
2011-11-30;62.73;60.939999;33.889998999999996
2011-12-31;62.09;61.189999;33.75
2012-01-31;66.739998;64.339996;36.220001
2012-02-29;68.68;66.800003;37.23
2012-03-31;69.540001;67.129997;37.419998
2012-04-30;68.93;66.83000200000001;37.009997999999996
2012-05-31;64.650002;61.779999;34.669998
2012-06-30;66.540001;64.0;35.669998
2012-07-31;66.57;63.119999;35.810001
2012-08-31;67.860001;64.519997;36.360001000000004
2012-09-30;69.07;65.25;36.529999
2012-10-31;69.110001;65.75;36.490002000000004
2012-11-30;70.5;67.33000200000001;37.130001
2012-12-31;71.25;68.25;37.900002
2013-01-31;75.629997;69.099998;40.080002
2013-02-28;77.5;71.190002;40.970001
2013-03-31;79.870003;74.739998;41.759997999999996
2013-04-30;78.900002;75.68;41.450001
2013-05-31;82.870003;80.709999;43.529999
2013-06-30;81.599998;81.550003;42.639998999999996
2013-07-31;86.620003;88.5;45.16
2013-08-31;84.150002;86.93;44.040001000000004
2013-09-30;89.389999;91.889999;46.41
2013-10-31;93.66999799999999;96.879997;48.619999
2013-11-30;97.089996;103.07;50.400002
2013-12-31;100.029999;105.68;52.259997999999996
2014-01-31;95.980003;105.239998;50.029999
2014-02-28;99.900002;109.639999;52.060001
2014-03-31;100.589996;109.160004;52.330002
2014-04-30;101.510002;108.68;53.029999
2014-05-31;103.33000200000001;109.91999799999999;54.049999
2014-06-30;104.239998;107.839996;54.060001
2014-07-31;99.529999;102.660004;51.830002
2014-08-31;103.949997;108.66999799999999;54.02
2014-09-30;101.41999799999999;107.58000200000001;53.150002
2014-10-31;105.389999;111.199997;55.209998999999996
2014-11-30;108.309998;114.150002;56.91
2014-12-31;106.82;114.690002;57.490002000000004
2015-01-31;102.66999799999999;114.410004;55.990002000000004
2015-02-28;108.980003;123.33000200000001;56.380001
2015-03-31;107.349998;123.779999;55.77
2015-04-30;106.68;120.099998;56.299999
2015-05-31;107.08000200000001;121.559998;55.810001
2015-06-30;104.709999;119.139999;54.060001
2015-07-31;104.68;118.040001;54.27
2015-08-31;99.220001;113.480003;51.290001000000004
2015-09-30;94.959999;109.019997;49.709998999999996
2015-10-31;103.25;118.239998;54.27
2015-11-30;104.519997;119.949997;54.740002000000004
2015-12-31;101.029999;118.220001;53.009997999999996
2016-01-31;94.519997;109.41999799999999;49.990002000000004
2016-02-29;98.18;112.16999799999999;52.119999
2016-03-31;105.209999;116.889999;55.470001
2016-04-30;106.339996;121.870003;56.16
2016-05-31;106.41999799999999;124.029999;55.919998
2016-06-30;106.269997;124.93;56.009997999999996
2016-07-31;110.349998;129.509995;58.040001000000004
2016-08-31;111.620003;130.21000700000002;58.59
2016-09-30;110.900002;129.059998;58.380001
2016-10-31;108.470001;130.270004;57.209998999999996
2016-11-30;119.040001;143.309998;62.41
2016-12-31;119.260002;140.520004;62.220001
2017-01-31;120.93;142.389999;63.380001
2017-02-28;125.010002;151.770004;65.860001
2017-03-31;123.730003;148.720001;65.059998
2017-04-30;126.029999;153.759995;66.339996
2017-05-31;126.879997;157.809998;67.519997
