Date;IYZ;VOX;IXP
2011-06-30;24.9;71.260002;60.59
2011-07-31;23.43;67.199997;59.32
2011-08-31;22.389999;65.150002;57.380001
2011-09-30;20.389999;60.68;54.299999
2011-10-31;21.16;63.23;57.75
2011-11-30;21.07;63.290001000000004;57.23
2011-12-31;21.0;62.169998;55.790001000000004
2012-01-31;21.24;61.52;55.189999
2012-02-29;22.26;64.339996;56.389998999999996
2012-03-31;22.200001;65.010002;56.509997999999996
2012-04-30;21.91;64.769997;57.009997999999996
2012-05-31;21.209999;64.160004;54.779999
2012-06-30;22.469998999999998;67.809998;57.580002
2012-07-31;23.82;70.860001;59.419998
2012-08-31;24.1;70.83000200000001;59.450001
2012-09-30;25.530001000000002;75.050003;60.799999
2012-10-31;24.42;71.790001;58.27
2012-11-30;23.879998999999998;71.230003;58.25
2012-12-31;24.26;70.010002;57.169998
2013-01-31;24.969998999999998;72.230003;59.27
2013-02-28;23.870001000000002;71.66999799999999;57.75
2013-03-31;24.299999;74.150002;59.93
2013-04-30;26.799999;80.269997;63.919998
2013-05-31;26.190001000000002;77.279999;60.34
2013-06-30;25.85;78.910004;59.389998999999996
2013-07-31;27.93;82.260002;61.209998999999996
2013-08-31;26.799999;78.449997;60.439999
2013-09-30;27.58;80.769997;64.18
2013-10-31;29.32;86.510002;68.379997
2013-11-30;28.59;85.050003;68.010002
2013-12-31;29.73;83.660004;68.309998
2014-01-31;28.83;81.32;65.099998
2014-02-28;28.780001000000002;80.800003;66.300003
2014-03-31;29.98;85.110001;66.860001
2014-04-30;29.33;84.41999799999999;68.199997
2014-05-31;30.15;87.690002;69.459999
2014-06-30;30.33;87.959999;63.060001
2014-07-31;30.73;89.0;64.190002
2014-08-31;30.690001000000002;88.41999799999999;64.620003
2014-09-30;29.950001;87.300003;62.889998999999996
2014-10-31;30.469998999999998;89.120003;63.830002
2014-11-30;30.77;89.910004;64.879997
2014-12-31;29.280001000000002;84.720001;60.09
2015-01-31;28.540001;83.110001;61.18
2015-02-28;30.82;88.610001;63.799999
2015-03-31;30.219998999999998;86.449997;61.299999
2015-04-30;30.75;89.639999;64.68
2015-05-31;30.040001;88.0;63.880001
2015-06-30;29.280001000000002;86.949997;62.139998999999996
2015-07-31;29.059998999999998;86.43;62.91
2015-08-31;28.51;83.720001;59.849998
2015-09-30;27.0;78.809998;56.720001
2015-10-31;29.870001000000002;85.739998;60.669998
2015-11-30;29.68;84.870003;59.82
2015-12-31;28.790001;83.910004;57.849998
2016-01-31;27.790001;84.940002;58.810001
2016-02-29;29.59;88.309998;59.009997999999996
2016-03-31;30.73;92.720001;62.27
2016-04-30;31.209999;92.540001;62.18
2016-05-31;31.6;92.389999;62.220001
2016-06-30;33.299999;98.400002;63.189999
2016-07-31;34.470001;101.050003;63.700001
2016-08-31;32.209998999999996;95.040001;61.889998999999996
2016-09-30;32.220001;94.389999;61.849998
2016-10-31;31.4;90.980003;59.029999
2016-11-30;31.950001;93.940002;57.259997999999996
2016-12-31;34.5;100.150002;58.900002
2017-01-31;35.490002000000004;100.529999;59.459998999999996
2017-02-28;33.259997999999996;97.739998;59.0
2017-03-31;32.34;94.870003;59.48
2017-04-30;34.009997999999996;96.949997;58.66
2017-05-31;32.689999;93.980003;61.02
2017-06-30;32.259997999999996;91.83000200000001;58.5
2017-07-31;31.9;93.769997;61.110001000000004
2017-08-31;31.879998999999998;93.550003;60.41
2017-09-30;30.41;92.260002;60.380001
2017-10-31;30.16;89.43;58.950001
2017-11-30;30.139999;91.650002;61.16
2017-12-31;29.41;91.150002;60.529999
2018-01-31;29.549999;92.190002;61.779999
2018-02-28;27.92;86.91999799999999;57.799999
2018-03-31;27.02;83.66999799999999;57.330002
2018-04-30;27.389999;84.809998;58.23
2018-05-31;26.969998999999998;82.58000200000001;55.07
2018-06-30;27.57;84.91999799999999;54.07
2018-07-31;27.620001000000002;84.41999799999999;55.98
2018-08-31;29.68;86.809998;55.919998
2018-09-30;29.74;87.0;57.880001
2018-10-31;28.200001;81.610001;53.950001
2018-11-30;28.709999;81.010002;54.610001000000004
2018-12-31;26.35;74.07;50.18
2019-01-31;28.040001;81.889999;54.73
2019-02-28;29.690001000000002;82.190002;54.900002
2019-03-31;29.74;83.519997;56.279999
2019-04-30;30.32;88.58000200000001;59.189999
2019-05-31;28.0;83.57;55.849998
2019-06-30;29.450001;86.690002;57.240002000000004
2019-07-31;29.959999;89.660004;58.669998
2019-08-31;28.379998999999998;87.16999799999999;57.139998999999996
2019-09-30;29.209999;87.25;57.650002
