Date;VPU;IDU;XLU
2010-05-31;61.0;70.010002;28.76
2010-06-30;59.900002;68.739998;28.26
2010-07-31;64.290001;73.739998;30.370001000000002
2010-08-31;64.949997;74.489998;30.809998999999998
2010-09-30;66.43;76.220001;31.379998999999998
2010-10-31;67.32;77.43;31.719998999999998
2010-11-30;65.699997;75.480003;30.76
2010-12-31;67.08000200000001;77.099998;31.34
2011-01-31;68.050003;78.290001;31.719998999999998
2011-02-28;69.160004;79.58000200000001;32.110001000000004
2011-03-31;69.07;79.360001;31.870001000000002
2011-04-30;71.75;82.459999;33.16
2011-05-31;72.860001;83.629997;33.869999
2011-06-30;71.980003;82.68;33.48
2011-07-31;71.18;81.739998;33.169998
2011-08-31;72.459999;82.980003;33.889998999999996
2011-09-30;71.459999;81.75;33.619999
2011-10-31;74.300003;85.300003;34.849998
2011-11-30;75.089996;86.07;35.209998999999996
2011-12-31;76.889999;88.32;35.98
2012-01-31;74.120003;85.379997;34.68
2012-02-29;74.589996;85.900002;34.889998999999996
2012-03-31;74.839996;86.160004;35.040001000000004
2012-04-30;76.150002;87.540001;35.66
2012-05-31;76.279999;87.459999;35.860001000000004
2012-06-30;78.510002;90.050003;36.990002000000004
2012-07-31;80.66999799999999;92.660004;37.919998
2012-08-31;77.690002;89.0;36.349998
2012-09-30;77.980003;89.5;36.389998999999996
2012-10-31;79.0;90.489998;36.900002
2012-11-30;75.989998;87.010002;35.32
2012-12-31;75.300003;86.360001;34.919998
2013-01-31;79.209999;90.75;36.580002
2013-02-28;81.040001;92.849998;37.43
2013-03-31;84.75;97.099998;39.099998
2013-04-30;89.529999;102.529999;41.43
2013-05-31;82.190002;94.279999;37.68
2013-06-30;82.190002;94.58000200000001;37.630001
2013-07-31;85.83000200000001;98.629997;39.259997999999996
2013-08-31;81.260002;93.400002;37.299999
2013-09-30;81.620003;93.889999;37.369999
2013-10-31;84.879997;97.510002;38.779999
2013-11-30;83.129997;95.480003;38.029999
2013-12-31;83.279999;95.82;37.970001
2014-01-31;85.57;98.43;39.099998
2014-02-28;88.410004;101.610001;40.450001
2014-03-31;90.519997;104.190002;41.459998999999996
2014-04-30;93.910004;108.220001;43.209998999999996
2014-05-31;93.220001;107.449997;42.740002000000004
2014-06-30;96.699997;111.370003;44.259997999999996
2014-07-31;89.980003;103.519997;41.25
2014-08-31;94.610001;108.940002;43.279999
2014-09-30;91.32;105.269997;42.09
2014-10-31;98.959999;114.139999;45.470001
2014-11-30;99.760002;115.290001;46.0
2014-12-31;102.349998;118.269997;47.970001
2015-01-31;104.58000200000001;120.860001;48.189999
2015-02-28;98.370003;113.610001;45.23
2015-03-31;96.879997;111.760002;44.43
2015-04-30;96.650002;111.059998;44.610001000000004
2015-05-31;96.620003;111.5;44.639998999999996
2015-06-30;92.260002;103.660004;43.32
2015-07-31;94.839996;109.610001;43.23
2015-08-31;91.43;105.739998;42.779999
2015-09-30;93.019997;107.889999;43.290001000000004
2015-10-31;94.83000200000001;109.739998;43.75
2015-11-30;92.809998;107.57;42.82
2015-12-31;93.93;107.91999799999999;43.279999
2016-01-31;98.339996;113.18;45.419998
2016-02-29;100.089996;115.160004;46.299999
2016-03-31;107.529999;123.68;49.619999
2016-04-30;105.43;121.08000200000001;48.419998
2016-05-31;107.150002;122.980003;49.150002
2016-06-30;114.5;131.270004;52.470001
2016-07-31;113.480003;130.009995;52.119999
2016-08-31;107.32;122.790001;49.23
2016-09-30;106.959999;122.57;48.990002000000004
2016-10-31;107.91999799999999;123.57;49.43
2016-11-30;103.019997;117.449997;46.75
2016-12-31;107.010002;121.83000200000001;48.57
2017-01-31;108.260002;123.370003;49.18
2017-02-28;113.620003;129.449997;51.77
2017-03-31;112.629997;128.419998;51.310001
2017-04-30;113.379997;129.259995;51.700001
2017-05-31;117.91999799999999;134.550003;53.84
2017-06-30;114.260002;130.029999;51.959998999999996
2017-07-31;117.290001;133.369995;53.220001
2017-08-31;120.690002;137.46000700000002;54.970001
2017-09-30;116.779999;132.91000400000001;53.049999
