Date;RWR;VNQ;IYR
2011-06-30;66.599998;60.099998;60.299999
2011-07-31;67.739998;61.040001000000004;60.43
2011-08-31;64.08000200000001;57.610001000000004;57.220001
2011-09-30;56.5;50.869999;50.57
2011-10-31;64.709999;58.139998999999996;57.240002000000004
2011-11-30;62.150002;55.93;55.139998999999996
2011-12-31;64.400002;58.0;56.810001
2012-01-31;68.489998;61.700001;60.560001
2012-02-29;67.760002;60.990002000000004;60.139998999999996
2012-03-31;70.83000200000001;63.650002;62.299999
2012-04-30;72.980003;65.470001;63.91
2012-05-31;69.629997;62.52;61.220001
2012-06-30;72.889999;65.43;63.939999
2012-07-31;74.260002;66.739998;65.43
2012-08-31;74.050003;66.730003;65.629997
2012-09-30;71.959999;64.970001;64.379997
2012-10-31;71.32;64.379997;64.0
2012-11-30;70.980003;64.209999;63.630001
2012-12-31;72.970001;65.800003;64.66999799999999
2013-01-31;75.470001;68.260002;67.269997
2013-02-28;76.08000200000001;69.089996;68.120003
2013-03-31;77.629997;70.529999;69.480003
2013-04-30;82.889999;75.279999;73.459999
2013-05-31;77.949997;70.779999;68.690002
2013-06-30;75.949997;68.720001;66.43
2013-07-31;76.5;69.339996;66.589996
2013-08-31;71.199997;64.5;62.240002000000004
2013-09-30;72.93;66.139999;63.790001000000004
2013-10-31;75.879997;69.129997;66.16999799999999
2013-11-30;71.690002;65.5;63.099998
2013-12-31;71.269997;64.559998;63.080002
2014-01-31;74.040001;67.32;65.25
2014-02-28;77.910004;70.730003;68.349998
2014-03-31;78.029999;70.620003;67.66999799999999
2014-04-30;80.93;72.940002;69.720001
2014-05-31;82.910004;74.690002;71.66999799999999
2014-06-30;83.0;74.839996;71.790001
2014-07-31;83.120003;74.900002;71.709999
2014-08-31;85.43;77.18;74.199997
2014-09-30;79.800003;71.849998;69.199997
2014-10-31;88.260002;78.989998;74.980003
2014-11-30;90.160004;80.57;77.019997
2014-12-31;90.459999;81.0;76.839996
2015-01-31;96.860001;86.550003;81.230003
2015-02-28;93.309998;83.370003;79.120003
2015-03-31;94.57;84.309998;79.32
2015-04-30;92.050003;79.379997;75.5
2015-05-31;88.970001;79.139999;75.25
2015-06-30;86.040001;74.690002;71.300003
2015-07-31;89.370003;79.0;74.83000200000001
2015-08-31;84.089996;75.870003;71.989998
2015-09-30;86.16999799999999;75.540001;70.949997
2015-10-31;91.160004;79.889999;75.360001
2015-11-30;90.599998;79.389999;75.209999
2015-12-31;91.629997;79.730003;75.08000200000001
2016-01-31;87.910004;76.989998;72.0
2016-02-29;87.160004;76.709999;71.459999
2016-03-31;95.150002;83.800003;77.860001
2016-04-30;92.33000200000001;81.83000200000001;76.559998
2016-05-31;94.160004;83.66999799999999;78.25
2016-06-30;99.43;88.66999799999999;82.389999
2016-07-31;103.790001;92.449997;85.400002
2016-08-31;100.220001;88.970001;82.540001
2016-09-30;97.370003;86.739998;80.639999
2016-10-31;91.860001;81.760002;76.639999
