Date;VDE;XLE;XOP
2011-08-31;100.290001;68.639999;53.669998
2011-09-30;86.339996;58.509997999999996;42.860001000000004
2011-10-31;102.269997;69.709999;53.849998
2011-11-30;103.93;70.870003;55.169998
2011-12-31;100.809998;69.129997;52.689999
2012-01-31;102.860001;70.690002;54.580002
2012-02-29;109.120003;74.879997;59.32
2012-03-31;105.18;71.75;56.91
2012-04-30;104.059998;71.239998;56.369999
2012-05-31;92.529999;63.630001;47.93
2012-06-30;97.290001;66.370003;50.400002
2012-07-31;101.099998;69.650002;51.23
2012-08-31;103.349998;71.529999;52.740002000000004
2012-09-30;106.980003;73.43;55.689999
2012-10-31;104.379997;71.940002;53.77
2012-11-30;102.989998;71.059998;53.009997999999996
2012-12-31;102.260002;71.41999799999999;54.080002
2013-01-31;110.449997;77.349998;58.099998
2013-02-28;110.809998;77.690002;57.970001
2013-03-31;113.309998;79.309998;60.490002000000004
2013-04-30;111.849998;78.269997;57.369999
2013-05-31;114.849998;80.5;60.389998999999996
2013-06-30;112.440002;78.300003;58.18
2013-07-31;118.309998;82.41999799999999;62.349998
2013-08-31;116.540001;81.57;62.0
2013-09-30;119.309998;82.910004;65.849998
2013-10-31;124.720001;86.389999;69.58000200000001
2013-11-30;124.93;86.440002;67.779999
2013-12-31;126.43;88.510002;68.529999
2014-01-31;118.68;83.379997;65.75
2014-02-28;125.290001;87.650002;69.690002
2014-03-31;128.41000400000001;89.059998;71.83000200000001
2014-04-30;134.919998;93.739998;77.610001
2014-05-31;136.649994;95.309998;77.040001
2014-06-30;143.96000700000002;100.099998;82.279999
2014-07-31;138.580002;96.629997;75.290001
2014-08-31;142.259995;98.739998;79.050003
2014-09-30;131.119995;90.620003;68.83000200000001
2014-10-31;125.889999;87.41999799999999;60.869999
2014-11-30;114.239998;79.82;51.080002
2014-12-31;111.620003;79.160004;47.860001000000004
2015-01-31;106.199997;75.550003;46.18
2015-02-28;111.410004;79.019997;50.810001
2015-03-31;109.279999;77.58000200000001;51.66
2015-04-30;116.989998;82.68;55.09
2015-05-31;111.050003;78.389999;49.529999
2015-06-30;106.949997;75.160004;46.66
2015-07-31;97.82;69.379997;38.349998
2015-08-31;90.769997;66.43;36.0
2015-09-30;84.760002;61.200001;32.84
2015-10-31;93.809998;68.029999;36.610001000000004
2015-11-30;94.260002;68.019997;37.130001
2015-12-31;83.120003;60.32;30.219998999999998
2016-01-31;79.980003;58.209998999999996;28.49
2016-02-29;78.209999;56.580002;24.6
2016-03-31;85.82;61.889998999999996;30.35
2016-04-30;94.639999;67.5;35.740002000000004
2016-05-31;93.029999;66.870003;35.52
2016-06-30;95.120003;68.239998;34.810001
2016-07-31;93.290001;67.379997;34.25
2016-08-31;95.059998;68.510002;36.790001000000004
2016-09-30;97.690002;70.610001;38.459998999999996
2016-10-31;94.07;68.620003;35.349998
2016-11-30;103.25;74.43;41.93
2016-12-31;106.300003;75.32;43.18
2017-01-31;101.050003;72.900002;40.080002
2017-02-28;98.370003;71.379997;37.860001000000004
2017-03-31;96.709999;69.900002;37.439999
2017-04-30;93.33000200000001;67.839996;34.950001
2017-05-31;89.550003;65.440002;32.57
2017-06-30;88.5;64.91999799999999;31.92
2017-07-31;90.779999;66.620003;32.52
2017-08-31;85.720001;62.970001;30.16
2017-09-30;93.58000200000001;68.480003;34.09
2017-10-31;92.58000200000001;67.910004;34.279999
2017-11-30;94.489998;69.099998;35.720001
2017-12-31;98.949997;72.260002;37.18
2018-01-31;102.07;74.849998;36.91
2018-02-28;91.110001;66.739998;33.060001
2018-03-31;92.370003;67.410004;35.220001
2018-04-30;101.32;73.809998;39.380001
2018-05-31;104.959999;76.019997;42.25
2018-06-30;105.08000200000001;75.940002;43.060001
2018-07-31;106.220001;77.120003;43.02
2018-08-31;103.08000200000001;74.440002;42.34
2018-09-30;105.110001;75.739998;43.290001000000004
2018-10-31;92.379997;67.160004;36.07
2018-11-30;89.760002;66.110001;32.810001
2018-12-31;77.110001;57.349998;26.530001000000002
2019-01-31;86.139999;63.779999;30.540001
2019-02-28;88.010002;65.25;29.780001000000002
2019-03-31;89.379997;66.120003;30.74
2019-04-30;89.209999;66.110001;30.950001
2019-05-31;78.769997;58.77;25.610001
2019-06-30;85.019997;63.709998999999996;27.25
2019-07-31;82.970001;62.700001;25.030001000000002
2019-08-31;75.739998;57.48;21.57
2019-09-30;78.639999;59.639998999999996;22.629998999999998
