Date;VFH;XLF;KRE
2011-03-31;33.889998999999996;13.314379;26.629998999999998
2011-04-30;34.130001;13.306254999999998;26.74
2011-05-31;33.200001;12.867587;25.889999
2011-06-30;32.110001000000004;12.469536999999999;25.450001
2011-07-31;31.059998999999998;12.022746000000001;24.780001000000002
2011-08-31;28.25;10.869212;22.059998999999998
2011-09-30;24.92;9.593826;19.309998999999998
2011-10-31;28.370001000000002;10.966694;23.459999
2011-11-30;27.16;10.406174;23.6
2011-12-31;27.620001000000002;10.56052;24.41
2012-01-31;29.719998999999998;11.421609;25.809998999999998
2012-02-29;31.02;11.990252;26.889999
2012-03-31;32.970001;12.835092999999999;28.469998999999998
2012-04-30;32.439999;12.534525;28.07
2012-05-31;29.799999;11.380991;26.629998999999998
2012-06-30;31.059998999999998;11.89277;27.379998999999998
2012-07-31;31.1;11.909017;26.91
2012-08-31;32.060001;12.315191;27.790001
2012-09-30;32.759997999999996;12.6645;28.639999
2012-10-31;33.279999;12.916328;27.940001000000002
2012-11-30;32.98;12.8026;27.58
2012-12-31;34.099998;13.314379;27.969998999999998
2013-01-31;36.139998999999996;14.118603;29.83
2013-02-28;36.720001;14.289195999999999;30.370001000000002
2013-03-31;38.110001000000004;14.792851;31.790001
2013-04-30;39.049999;15.190902;31.049999
2013-05-31;40.5;16.116978;32.82
2013-06-30;39.91;15.800162;33.880001
2013-07-31;41.939999;16.645004;36.799999
2013-08-31;39.799999;15.792039;35.119999
2013-09-30;40.810001;16.173841;35.650002
2013-10-31;42.310001;16.709991;37.369999
2013-11-30;43.900002;17.449228;39.959998999999996
2013-12-31;44.419998;17.757921;40.610001000000004
2014-01-31;43.049999;17.108042;38.25
2014-02-28;44.509997999999996;17.627945;39.889998999999996
2014-03-31;45.529999;18.147848;41.380001
2014-04-30;44.77;17.839154999999998;38.490002000000004
2014-05-31;45.389998999999996;18.107229;38.290001000000004
2014-06-30;46.380001;18.472786;40.32
2014-07-31;45.560001;18.204712;38.43
2014-08-31;47.34;18.976442000000002;38.950001
2014-09-30;46.43;18.822096;37.860001000000004
2014-10-31;48.209998999999996;19.366369;40.080002
2014-11-30;49.16;24.379998999999998;39.650002
2014-12-31;49.709998999999996;24.950001;40.700001
2015-01-31;46.959998999999996;23.389999;36.849998
2015-02-28;49.34;19.780666;40.209998999999996
2015-03-31;49.279999;19.585703;40.830002
2015-04-30;49.119999;24.110001;41.110001000000004
2015-05-31;49.939999;19.983753;42.139998999999996
