Date;VCR;XLY;IYC
2012-07-31;69.260002;43.540001000000004;
2012-08-31;72.699997;45.549999;
2012-09-30;74.980003;46.790001000000004;
2012-10-31;74.339996;46.07;
2012-11-30;76.389999;47.529999;
2012-12-31;75.870003;47.439999;
2013-01-31;80.459999;50.130001;
2013-02-28;81.010002;50.93;
2013-03-31;84.83000200000001;53.0;
2013-04-30;87.43;54.610001000000004;20.15
2013-05-31;90.41999799999999;56.119999;24.370001000000002
2013-06-30;91.139999;56.400002;20.0
2013-07-31;96.029999;59.369999;21.440001000000002
2013-08-31;93.459999;57.68;22.83
2013-09-30;98.82;60.630001;24.0
2013-10-31;102.970001;63.41;20.389999
2013-11-30;106.57;65.599998;21.629998999999998
2013-12-31;108.059998;66.83000200000001;22.540001
2014-01-31;101.860001;62.82;19.98
2014-02-28;108.559998;66.839996;19.84
2014-03-31;105.800003;64.720001;18.719998999999998
2014-04-30;104.0;63.84;18.18
2014-05-31;106.480003;65.68;19.389999
2014-06-30;109.18;66.739998;18.84
2014-07-31;107.089996;65.889999;18.540001
2014-08-31;111.760002;68.82;17.540001
2014-09-30;108.5;66.690002;17.139999
2014-10-31;111.260002;68.099998;19.459999
2014-11-30;117.5;71.809998;17.610001
2014-12-31;116.879997;72.150002;17.360001
2015-01-31;113.260002;69.989998;15.75
2015-02-28;122.589996;75.970001;12.37
2015-03-31;122.480003;75.349998;12.0
2015-04-30;121.879997;75.309998;12.59
2015-05-31;123.629997;76.300003;10.69
2015-06-30;124.220001;76.480003;9.92
2015-07-31;129.110001;80.220001;9.51
2015-08-31;121.470001;74.980003;9.67
2015-09-30;117.839996;74.260002;8.93
2015-10-31;126.989998;80.970001;6.62
2015-11-30;126.400002;80.779999;4.65
2015-12-31;122.550003;78.160004;4.16
2016-01-31;115.43;74.110001;3.34
2016-02-29;116.57;74.440002;1.72
2016-03-31;124.059998;79.099998;2.52
2016-04-30;123.940002;79.199997;3.95
2016-05-31;123.739998;79.239998;3.23
2016-06-30;121.980003;78.059998;2.58
2016-07-31;127.870003;81.620003;2.3
2016-08-31;126.41999799999999;80.559998;2.7
2016-09-30;125.739998;80.040001;2.71
2016-10-31;122.66999799999999;78.099998;2.71
2016-11-30;129.119995;81.849998;4.12
2016-12-31;128.669998;81.400002;2.67
2017-01-31;133.520004;84.83000200000001;3.61
2017-02-28;135.869995;86.370003;4.98
2017-03-31;138.470001;87.949997;4.15
2017-04-30;141.880005;90.059998;2.95
2017-05-31;142.919998;91.050003;3.08
2017-06-30;141.970001;89.629997;3.06
2017-07-31;144.139999;91.360001;3.17
2017-08-31;141.720001;89.660004;3.86
2017-09-30;143.33999599999999;90.08000200000001;4.7
2017-10-31;145.690002;91.989998;4.35
2017-11-30;152.970001;96.650002;3.57
2017-12-31;155.970001;98.690002;3.39
2018-01-31;169.0;107.809998;2.81
2018-02-28;162.759995;104.07;4.84
2018-03-31;158.619995;101.290001;3.76
2018-04-30;161.679993;103.699997;9.77
2018-05-31;165.229996;105.760002;17.85
2018-06-30;169.630005;109.300003;16.66
2018-07-31;172.110001;111.269997;19.5
2018-08-31;180.899994;116.949997;21.969998999999998
2018-09-30;180.449997;117.220001;30.0
2018-10-31;161.990005;105.379997;26.059998999999998
2018-11-30;165.759995;107.989998;24.870001000000002
2018-12-31;150.520004;99.010002;21.389999
2019-01-31;165.699997;108.779999;24.33
2019-02-28;168.190002;110.209999;24.08
2019-03-31;172.41000400000001;113.849998;15.66
2019-04-30;181.21000700000002;120.07;20.24
2019-05-31;166.899994;110.940002;18.049999
2019-06-30;179.389999;119.199997;19.450001
2019-07-31;181.470001;120.720001;22.639999
2019-08-31;178.320007;119.58000200000001;20.68
2019-09-30;179.080002;120.089996;24.209999
