Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,48.090000,48.500000,47.009998,48.189999,35.836884,3722800
2006-07-01,48.220001,49.119999,46.500000,48.619999,36.156670,5198100
2006-08-01,48.169998,49.520000,47.830002,48.970001,36.416950,3349600
2006-09-01,48.840000,49.520000,48.090000,48.840000,36.320267,3915500
2006-10-01,48.700001,49.900002,48.090000,48.799999,36.573410,9569300
2006-11-01,48.750000,50.470001,47.919998,49.619999,37.187943,4081100
2006-12-01,49.619999,51.119999,49.029999,50.119999,37.562679,5689200
2007-01-01,50.320000,50.959999,48.299999,49.360001,37.166058,11866700
2007-02-01,49.610001,51.049999,48.500000,48.919998,36.834763,8051200
2007-03-01,48.290001,49.450001,46.380001,48.119999,36.232384,17042400
2007-04-01,47.950001,48.340000,46.230000,47.150002,35.702389,22313000
2007-05-01,46.799999,48.560001,46.500000,47.580002,36.028008,17941700
2007-06-01,47.980000,48.209999,45.500000,45.880001,34.740746,17049800
2007-07-01,46.200001,47.310001,41.400002,41.639999,31.907236,20496000
2007-08-01,41.610001,47.160000,39.939999,44.599998,34.175385,47026000
2007-09-01,44.680000,49.009998,42.889999,44.029999,33.738605,21773500
2007-10-01,43.990002,46.230000,39.580002,42.099998,32.592033,37721000
2007-11-01,42.110001,42.110001,36.139999,40.060001,31.012749,50409100
2007-12-01,39.630001,41.930000,36.500000,37.080002,28.705757,32474800
2008-01-01,37.220001,40.500000,30.250000,38.730000,30.769072,72710000
2008-02-01,38.830002,39.709999,33.750000,34.250000,27.209936,56161400
2008-03-01,34.160000,38.410000,31.580000,35.139999,27.916998,83485900
2008-04-01,35.750000,37.400002,32.389999,34.430000,27.352943,74045700
2008-05-01,34.459999,36.740002,32.299999,33.020000,26.232767,49393900
2008-06-01,33.029999,33.040001,26.500000,26.629999,21.156216,100037500
2008-07-01,26.240000,31.910000,21.709999,30.270000,24.186619,158091100
2008-08-01,30.639999,35.080002,29.780001,32.099998,25.648836,94207600
2008-09-01,32.730000,54.090000,31.940001,35.500000,28.365538,173234300
2008-10-01,35.939999,38.500000,24.900000,32.900002,26.505957,109180300
2008-11-01,32.770000,34.200001,22.900000,29.660000,23.895649,73826200
2008-12-01,29.370001,29.510000,24.709999,29.160000,23.492817,58607700
2009-01-01,29.230000,29.340000,19.459999,20.740000,17.064926,66986200
2009-02-01,20.450001,22.920000,16.430000,18.200001,14.975007,81577500
2009-03-01,17.709999,21.059999,14.420000,19.219999,15.814269,106223500
2009-04-01,19.160000,22.889999,18.639999,20.860001,17.322193,92769900
2009-05-01,20.920000,23.950001,18.980000,19.990000,16.599745,109632100
2009-06-01,20.290001,20.930000,17.700001,18.240000,15.146542,111130900
2009-07-01,18.360001,20.940001,17.240000,20.820000,17.405640,121581100
2009-08-01,21.000000,23.790001,20.500000,21.200001,17.723314,95778800
2009-09-01,20.980000,22.990000,19.920000,21.320000,17.823633,85547700
2009-10-01,21.280001,21.980000,20.120001,20.340000,17.090298,121972600
2009-11-01,20.440001,21.400000,19.450001,21.030001,17.670061,76877100
2009-12-01,21.110001,22.750000,20.780001,22.250000,18.695137,59673200
2010-01-01,22.430000,25.219999,22.010000,24.070000,20.265501,116216700
2010-02-01,24.240000,25.010000,22.379999,24.530001,20.652800,88556800
2010-03-01,24.530001,27.320000,24.330000,26.219999,22.075674,66511900
2010-04-01,26.400000,29.790001,26.010000,27.920000,23.578402,102483800
2010-05-01,28.209999,29.500000,22.110001,25.209999,21.289810,94451800
2010-06-01,25.000000,25.490000,23.020000,23.090000,19.499470,53817200
2010-07-01,23.020000,25.190001,22.190001,23.770000,20.148958,57817700
2010-08-01,24.170000,24.540001,20.799999,21.120001,17.902655,73758000
2010-09-01,21.469999,23.340000,21.320000,22.910000,19.419962,44922900
2010-10-01,23.110001,24.010000,22.459999,22.670000,19.299128,59620600
2010-11-01,22.690001,24.530001,21.760000,22.520000,19.171427,56020000
