DATE;T10Y2Y;FEDFUNDS
1980-07-31;1.2181818181818183;9.03
1980-08-31;0.5742857142857142;9.61
1980-09-30;-0.06619047619047617;10.87
1980-10-31;-0.3368181818181818;12.81
1980-11-30;-0.8294117647058823;15.85
1980-12-31;-1.2327272727272727;18.9
1981-01-31;-0.6938095238095239;19.08
1981-02-28;-0.7244444444444446;15.93
1981-03-31;-0.4527272727272727;14.7
1981-04-30;-0.47190476190476194;15.72
1981-05-31;-1.3575000000000002;18.52
1981-06-30;-1.0336363636363637;19.1
1981-07-31;-1.0731818181818185;19.04
1981-08-31;-1.3476190476190475;17.82
1981-09-30;-1.133809523809524;15.87
1981-10-31;-0.3947619047619048;15.08
1981-11-30;0.5111111111111111;13.31
1981-12-31;0.43409090909090914;12.37
1982-01-31;0.025999999999999975;13.22
1982-02-28;-0.39777777777777784;14.78
1982-03-31;-0.33304347826086955;14.68
1982-04-30;-0.3304761904761905;14.94
1982-05-31;-0.15450000000000003;14.45
1982-06-30;-0.16590909090909095;14.15
1982-07-31;0.14904761904761904;12.59
1982-08-31;0.7313636363636363;10.12
1982-09-30;0.5557142857142857;10.31
1982-10-31;0.7190000000000001;9.71
1982-11-30;0.7547368421052633;9.2
1982-12-31;0.8777272727272728;8.95
1983-01-31;1.1295238095238094;8.68
1983-02-28;1.0884210526315792;8.51
1983-03-31;0.8504347826086956;8.77
1983-04-30;0.8320000000000002;8.8
1983-05-31;0.8909523809523808;8.63
1983-06-30;0.6668181818181819;8.98
1983-07-31;0.6920000000000002;9.37
1983-08-31;0.7756521739130434;9.56
1983-09-30;0.8638095238095237;9.45
1983-10-31;0.97;9.48
1983-11-30;1.0257894736842104;9.34
1983-12-31;0.9928571428571428;9.47
1984-01-31;1.0319047619047619;9.56
1984-02-29;1.0568421052631582;9.59
1984-03-31;1.0045454545454546;9.91
1984-04-30;0.9474999999999998;10.29
1984-05-31;0.9386363636363636;10.32
1984-06-30;0.6561904761904762;11.06
1984-07-31;0.4847619047619047;11.23
1984-08-31;0.2817391304347826;11.64
1984-09-30;0.31789473684210534;11.3
1984-10-31;0.5604545454545454;9.99
1984-11-30;0.9236842105263157;9.43
1984-12-31;1.318;8.38
1985-01-31;1.4533333333333336;8.35
1985-02-28;1.3433333333333333;8.5
1985-03-31;1.1423809523809523;8.58
1985-04-30;1.3457142857142859;8.27
1985-05-31;1.4527272727272726;7.97
1985-06-30;1.468;7.53
1985-07-31;1.5336363636363637;7.88
1985-08-31;1.388181818181818;7.9
1985-09-30;1.3900000000000001;7.92
1985-10-31;1.372272727272727;7.99
1985-11-30;1.2005263157894737;8.05
1985-12-31;1.1123809523809522;8.27
1986-01-31;1.0514285714285714;8.14
1986-02-28;0.7368421052631579;7.86
1986-03-31;0.5639999999999998;7.48
1986-04-30;0.604090909090909;6.99
1986-05-31;0.6423809523809524;6.85
1986-06-30;0.6147619047619047;6.92
1986-07-31;0.6368181818181817;6.56
1986-08-31;0.8395238095238097;6.17
1986-09-30;1.1014285714285716;5.89
1986-10-31;1.1472727272727274;5.85
1986-11-30;0.9738888888888889;6.04
1986-12-31;0.8409090909090909;6.91
1987-01-31;0.8585;6.43
1987-02-28;0.8526315789473684;6.1
1987-03-31;0.8240909090909092;6.13
1987-04-30;0.9985714285714287;6.37
1987-05-31;0.8515;6.85
1987-06-30;0.829090909090909;6.73
1987-07-31;1.0045454545454549;6.58
1987-08-31;1.0076190476190479;6.73
1987-09-30;1.0780952380952382;7.22
1987-10-31;1.1223809523809525;7.29
1987-11-30;1.1678947368421049;6.69
1987-12-31;1.1299999999999997;6.77
1988-01-31;1.0357894736842106;6.83
1988-02-29;1.0315;6.58
1988-03-31;1.1030434782608693;6.58
1988-04-30;1.129;6.87
1988-05-31;1.0933333333333333;7.09
1988-06-30;0.8954545454545456;7.51
1988-07-31;0.777;7.75
1988-08-31;0.6317391304347825;8.01
1988-09-30;0.5138095238095238;8.19
1988-10-31;0.4415;8.3
1988-11-30;0.29650000000000004;8.35
1988-12-31;0.017142857142857137;8.76
1989-01-31;-0.08399999999999999;9.12
1989-02-28;-0.2026315789473684;9.36
