;GDX_materials;XLB_materials;VAW_materials;VFH_financials;XLF_financials;KRE_financials;VCR_consumer_disc;XLY_consumer_disc;IYC_consumer_disc;VDE_energy;XLE_energy;XOP_energy;VHT_healthcare;IBB_healthcare;XLV_healthcare;VPU_utilities;IDU_utilities;XLU_utilities;IYZ_telecom;VOX_telecom;IXP_telecom;VDC_consumer_staples;IEV_consumer_staples;XLP_consumer_staples;VIS_industrials;ITA_industrials;XLI_industrials;QQQ_tech;XLK_tech;VGT_tech;RWR_real_estate;VNQ_real_estate;IYR_real_estate;T10Y2Y;FEDFUNDS;Inverted
2000-12-31;;21.421875;;;23.964256;;;25.59375;;;33.1875;;;;27.25;;88.78125;33.1875;38.8125;;;;38.34375;28.5625;;;31.25;58.375;31.3125;;;;37.974998;-0.1115;6.4;1
2001-01-31;;20.85;;;23.907393;;;28.57;;;32.130001;;;;29.219999;;80.0;31.32;45.549999;;;;38.25;26.48;;;31.370001;64.300003;37.299999;;;;38.150002;0.40095238095238095;5.98;0
2001-02-28;;21.120001;;;22.298944;;;26.530001;;;31.74;;;32.302082;28.66;;81.900002;31.969999;40.0;;;;34.310001;26.639999;;;29.49;47.450001;28.01;;;;37.625;0.44210526315789467;5.49;0
2001-03-31;;19.969999;;;21.559708;;;26.09;;;30.700001;;;25.46875;26.82;;81.58000200000002;31.290001;36.82;;;;32.240002000000004;24.719999;;;26.59;39.150002;24.799999;;;;37.470001;0.5431818181818181;5.31;0
2001-04-30;;22.1;;;22.339561;;;27.299999;;;33.869999;;;30.416666;28.799999;;85.980003;32.799999;38.48;;;;34.220001;25.200001;;;29.629999;46.150002;28.809999;;;;38.68;0.907;4.8;0
2001-05-31;;22.950001;;;23.322502;;;27.950001;;;33.549999;;;33.049999;29.9;;84.400002;33.029999;37.950001;;;;33.450001;25.57;;;30.870001;44.73;27.629999;;;;39.564999;1.1313636363636366;4.21;0
2001-06-30;;22.059999;;;23.070675;;;27.67;;;30.35;;;33.266666;29.549999;;78.209999;31.15;36.73;;;;31.6;24.309999;;;28.9;45.700001;28.17;;;;41.165001;1.2042857142857142;3.97;0
2001-07-31;;22.0;;;22.851341;;;28.9;;;30.0;;;29.0;28.959999;;74.620003;30.870001;37.57;;;;31.4;25.049999;;;28.84;41.759998;26.219999;;;;40.455002;1.1976190476190478;3.77;0
2001-08-31;;21.91;;;21.340374;;;26.370001;;;28.73;;;29.266666;27.49;;73.459999;29.77;33.740002000000004;;;;30.5;25.17;;;27.85;36.630001;23.02;;41.073334;;41.549999;1.2139130434782608;3.65;0
2001-09-30;;19.200001;;;20.04874;;;22.969999;;;25.82;;;24.783333;23.5;;66.400002;29.26;33.720001;;;;27.174999;25.059999;;;23.67;28.98;19.25;;38.450001;;39.630001;1.612941176470588;3.07;0
2001-10-31;;19.719999;;;19.76442;;;24.18;;;26.860001;;;28.766666;23.620001;;64.150002;27.719999;29.98;;;;27.775;24.9;;;24.09;33.900002;21.35;;37.096668;;37.209999;1.8409090909090915;2.49;0
2001-11-30;;22.219999;;;21.047928;;;27.4;;;25.360001;;;31.516666;26.360001;;61.860001;27.370001;30.709999;;51.880001;;28.85;26.0;;;26.5;39.650002;24.540001;;39.356667;;39.650002;1.869;2.09;0
